sample_nr,plot_id,sample_id,wheat_var,trt,pos_y,dry_weight,num_heads,dw_per_stem,rep_til_mean,weight_head,weight_kernels_per_head,nr_kernels_per_head
Exp_9_111,plot_56,WT28_a,sailor,W,49.5,1986,760,2.5859375,3.6,2.6426,2.1692,57.6
Exp_9_112,plot_56,WT28_b,sailor,W,49.5,2062.72,856,2.387407407,4.8,2.5956,2.1132,49.6
Exp_9_113,plot_57,bx29_a,sailor,b,58.5,1935.2,792,2.443434343,2.6,2.2102,1.6648,54.2
Exp_9_114,plot_57,bx29_b,sailor,b,58.5,1445.04,504,2.867142857,3.2,1.8068,1.411,38.4
Exp_9_115,plot_58,WT29_a,sailor,W,67.5,1980.08,704,2.781011236,3.4,2.7302,2.231,55.8
Exp_9_116,plot_58,WT29_b,sailor,W,67.5,1485.76,608,2.443684211,4.8,1.9888,1.448,50.2
Exp_9_117,plot_59,bx30_a,sailor,b,76.5,1348,592,2.277027027,3.2,2.2122,1.6588,60
Exp_9_118,plot_59,bx30_b,sailor,b,76.5,1260.56,488,2.583114754,2.2,2.315,1.836,55.8
Exp_9_119,plot_60,WT30_a,sailor,W,85.5,1866.24,672,2.744470588,3.4,2.4324,1.9836,51
Exp_9_120,plot_60,WT30_b,sailor,W,85.5,1833.92,696,2.575730337,4,1.5568,1.2182,38
