"sample_nr","plot_id","sample_id","wheat_var","trt","pos_y","germ","chlorophyll","height_mean","fresh_weight","dry_weight","water_content"
"Exp_9_110","plot_55","bx28_b","sailor","b",40.5,213.333333333333,36.3,80.04,3072,735.2,76.0677083333333
"Exp_9_111","plot_56","WT28_a","sailor","W",49.5,240,40.1,89,2832,666.72,76.4576271186441
"Exp_9_112","plot_56","WT28_b","sailor","W",49.5,245.333333333333,39.1,86.45,2620,604.8,76.9160305343511
"Exp_9_113","plot_57","bx29_a","sailor","b",58.5,240,39.4,84.72,2020,436.88,78.3722772277228
"Exp_9_114","plot_57","bx29_b","sailor","b",58.5,186.666666666667,39.5,84.08,2344,521.76,77.740614334471
"Exp_9_115","plot_58","WT29_a","sailor","W",67.5,240,37.6,87.98,3156,704.64,77.6730038022814
"Exp_9_116","plot_58","WT29_b","sailor","W",67.5,266.666666666667,38.1,87.56,3428,698.56,79.6219369894983
"Exp_9_117","plot_59","bx30_a","sailor","b",76.5,213.333333333333,40.6,78.86,2632,588.24,77.6504559270517
"Exp_9_118","plot_59","bx30_b","sailor","b",76.5,218.666666666667,37,79.95,2520,582.08,76.9015873015873
"Exp_9_119","plot_60","WT30_a","sailor","W",85.5,293.333333333333,39.6,87.84,3324,753.2,77.3405535499398
"Exp_9_120","plot_60","WT30_b","sailor","W",85.5,256,38.5,85.94,3088,719.12,76.7124352331606
